ogc_fid,cartodb_id,menu,homemade_pierogies,lunch,publish,etc,website,email,phone,handicap,take_out,alcohol,venue_address,venue_type,venue_notes,venue_name,validated,GEOMETRY
32,35,"Dinner menu, which includes choice of two sides ;french fries, cole slaw, macaroni and cheese, green beans, haluski;, plus iced tea, coffee or lemonade for dine-in dinners: fried fish sandwich platter, 11; Boston baked cod plate, 12; crab cake, 12; Atlantic salmon plate, 13. Fish sandwich only is 8. Kids meal features fish sticks or macaroni and cheese, one side and applesauce for 5. Family takeout special for 39 includes four fish pieces, rolls and two family-size side dishes. Also featuring homemade soups, home-baked desserts, autographed sports memorabilia raffle and more.",,0,1,,,,412-741-5540,,,0,"200 Walnut St. Sewickley, Pa. 15143",Church,school cafeteria,"St. James, Sewickley",1,
33,36,,,,0,,,,,,,,"105 Good St. Roscoe, PA",Church,,"St. Joseph, Roscoe",0,
34,37,"Baked or fried fish dinner, shrimp dinner, homemade soup, hush puppies, haluski, macaroni and cheese, pizza and more.",,0,1,"Note that there is no fish fry on March 31. To place an order, call 412-795-5114 from noon-4 p.m. the day before.",http://stjosephveronapa.com/event/fish-fry-2017/,joevchurch@verizon.net,412-795-5114,,,0,"825 Second St. Verona, PA",Church,In the social hall,"St. Joseph, Verona",1,
35,38,"Menu includes one-pound fish sandwich, baked fish, tuna salad sandwich, crab cake sandwich, shrimp, pierogies, macaroni and cheese, cabbage and noodles, cole slaw and french fries.",,1,1,"Good Friday has limited menu, limited hours. For takeout call 412-771-5483.",www.stmalachypgh.org,,412-771-0848,,1,0,"343 Forest Grove Road Kennedy Township, PA",Church,In School Cafeteria,"St. Malachy, Kennedy Township",1,
36,39,,,,0,,,,,,,,"3210 Liberty Way Liberty Borough, PA",Church,,St. Mark/Liberty Borough,0,
37,40,"Fried and baked fish, shrimp, coleslaw, mac & cheese, haluski, French fries, pizza, sandwiches, and pasta. Eat-in or take-out orders. Potato & cheese and sauerkraut pierogis are available",1,0,1,For all take-out orders please call Keane Hall kitchen at 412-723-1200 between 1:00-6:30 PM,http://stmauriceparish.org/church/,,412-723-1200,,1,0,"2001 Ardmore Blvd. Forest Hill, PA",Church,The fish fry will be in Keane Hall,"St. Maurice, Forest Hills",1,
38,41,Fish:  Fried fish sandwich $7.75  Fried fish dinner $9.75  Baked fish sandwich $8.00  Baked fish dinner $10.25  Extra Bun $1.00 Shrimp:  Jumbo shrimp (6) $6.75  Jumbo shrimp dinner $9.75  Popcorn shrimp $5.50  Popcorn shrimp dinner $8.00 Crab:  Crab cakes (2) $9.00  Crab cake dinner $10.75  Stuffed flounder dinner $10.00 Stuffed Tomato - Tuna $6.00  Tuna Salad on Croissant $6.00  Egg Salad on Croissant $6.00  Linguini (comes with salad and roll):  Shrimp $9.25 red or white  Scallops $9.25 red or white  Pizza with cheese $6.00  3 Pierogies $3.00  6 Pierogies $6.00  12 Pierogies $9.75  with onion without onion Potato pancakes (3) $5.00 Applesauce/ sour cream Steak Fries $2.75 Stewed Tomato $2.50 Tuna Noodle Casserole $7.00 Haluski:  12 ounce $3.00  32 ounce $6.50 Potato Haluski:  12 ounce $5.00  32 ounce $9.00 Mac N Cheese:  8 ounces $3.50  12 ounces $6.00  Quart $9.00 Soup:  12 ounces $3.50  Quart $7.00 Cole Slaw:  Serving $1.25  Pint $3.00  Quart $5.00 Salad:  Side $3.00  Large $5.00 Fresh Fruit Cup One Size $3.50 Applesauce $1.00,1,1,1,"Fish dinners come with steak fries and cole slaw. No substitutions, please.  Business delivery 11 a.m. until 1 p.m. for orders of $30 or more (order must be placed by 11:00 a.m.)  Credit Cards accepted for purchases of $25 or more ($2 service fee applies)  Credit Cards cannot be accepted for delivery orders",https://www.facebook.com/StMaxParish/,,412-462-1743,,1,1,"363 W. 11th Ave. West Homestead, PA",Church,,"St. Maximilian Kolbe, West Homestead",1,
39,42,http://holyapostlesparish.org/wp-content/uploads/2017/03/FishFryMenus17L.pdf,,1,1,,,,412-881-8201,,1,1,"2413 St. Norberts St. Pittsburgh, PA",Church,,"St. Norbert, Overbrook",1,
40,43,"Fish sandwich, 6.50; fish dinner, 7.75; baked cod dinner, 8.75; jumbo shrimp dinner, 9; crab cake dinner, 9; seafood platter, 9.50; macaroni and cheese, 2. Soup, haluski, grilled cheese, beverages and dessert available.",,0,1,"Ash Wednesdays and Fridays of Lent, including Good Friday, 4-7 p.m.",,,412-922-6300,,,,"114 Berry St., Pittsburgh, PA",Church,Venue is located in Connor Hall of Ascension Church,St. Philip- Ascension Worship Site,1,
41,44,"Dinners include entree, two sides, and a roll. Dinner Sides: fries, mac n cheese, three pierogies, cole slaw, applesauce, or veggies. Fried Fish Dinner - 10. Baked Fish Dinner - 11. Jumbo Fried Shrimp Dinner - 9. Six Pierogie Dinner - 7. Sandwiches and Sides also available a-la-carte for 1 to 4. Soda and Water - 1.",,0,1,Please be sure to stop by our 8th Grade Bake Sale for dessert! Proceeds benefit a field trip!,http://www.straphaelpgh.org/,parishcenter@straphaelpgh.org,412.661.3100,,1,0,"1154 Chislett St. Pittsburgh, PA",Church,In the Multi Purpose Room,"St. Raphael, Morningside/Stanton Heights",1,
42,45,Menus are available at the entrances to the Church.,,1,0,"***ASH WEDNESDAY ONLY*** Saint Rosalia Academy along with Saint Rosalia Parish will be having a Fish Fry on Ash Wednesday, March 1, 2017, from 11:00am-7:00pm . ",http://www.strosaliaparish.org,,412-521-9987,1,1,0,"411 Greenfield Ave. Pittsburgh, PA",Church,Wuerl Hall,"St. Rosalia Academy, Greenfield",1,
43,46,"Baked and fried fish dinners include french fries and cole slaw. A la carte menu features fried or baked fish sandwiches, grilled cheese, french fries, macaroni and cheese, haluski and cole slaw. Also featuring bake sale.",,0,1,,http://www.ststephen-hazelwood.org/,,412-421-9210 office 412-421-4748 takeout orders,1,1,0,"134 East Elizabeth St. Pittsburgh, PA",Church,,"St. Stephen, Hazelwood",1,
44,47,"Fried Fish, Baked Fish, Fried Shrimp, Fish Sandiwhces, Shrimp Baskets, Homemade Mac and Cheese!, Homemade Cole Slaw -secret recipe!, Apple Sauce, French Fries, Baked Potatoes, New England Clam Chowder, Tomato Florentine Soup, Bread, Butter, Drink, Yummy Desserts, , Beer and Wine Available!!, , Dinners: $10, Junior Meal $5 age 6 - 10, Kids Meal - Free! age 5 and under",,,1,,http://avilaparish.org/lenten-fish-fry/,,,,,1,"1000 Avila Court Pittsburgh, PA 15237",Church,,"St. Teresa of Avila, Perrysville",1,
45,48,,,0,1,,http://www.st-therese.net/,,412-462-8164,,1,,"3 St. Therese Court Pittsburgh, PA",Church,,"St. Therese of Lisieux, Munhall",1,
46,49,See menu at http://saintthomasabecket.com/2017FishFrymenu.pdf,,1,1,,http://saintthomasabecket.com,,,,,0,"139 Gill Hall Road Pittsburgh, PA",Church,,"St. Thomas A Becket, Jefferson Hills",1,
47,50,,1,1,1,, www.sttitus.org,,724-378-2734,,1,0,"952 Franklin Ave. Aliquippa, PA",Church,,"St. Titus, Aliquippa",1,
48,51,"Menu features beer-battered cod sandwich, Nantucket baked cod, fried butterfly shrimp and pierogie dinners. Also featuring sides and dessert. Cost: $8-$8.50 for adult dinners; $4 for child fried cod sandwich; $1 entree discount for seniors over age 60 (dine-in only); $8.50 for sandwich.  https://uploads.weconnect.com/mce/5d0fb669fb61cd51405bd09c1ac7e36a7407de8d/Fish%20Fry%20Menu.jpg",,0,1,,,,412-851-9176,,1,,"2710 Ohio St. Bethel Park, PA",Church,,"St. Valentine, Bethel Park",1,
49,52,"Fried and baked fish, crab cakes and shrimp dinners, $9, and includes cole slaw, french fries or macaroni and cheese, roll, dessert and beverage. A la carte menu includes pizza, clam chowder, macaroni and cheese, french fries, onion rings, haluski, cole slaw, salad, applesauce, buttered noodles, crab cakes, breaded shrimp and stewed tomatoes. ",,0,1,,http://www.stwinifred.org/,,412-563-1415,,1,,"550 Sleepy Hollow Road Pittsburgh, PA",Church,Benedict Hall,"St. Winifred, Mount Lebanon",1,
50,53,https://uploads.weconnect.com/mce/a4c36ded9dbf60a5a9dceb0d0a1e3b17ac92f8cf/2017%20FF%20Menu.pdf,,1,1,,http://www.stvictors.org/,,724-265-4017,,1,,"527 Bairdford Road Bairdford, PA",Church,,"Transfiguration/St. Victor, Bairdford",1,
51,54,"Adults: 10 dollars; Children: 5 dollars (under 3 free) -- fried fish, fries, coleslaw, bread and butter, coffee, tea, lemonade",0,0,1,,http://www.ihmcmercer.com,ihm@zoominternet.net,724-662-2999,,1,0,"100 Penn Avenue, Mercer, PA",Church,Event is in Gallagher Hall,Immaculate Heart of Mary,1,
52,55,"Fried or baked fish. includes choice of baked potato or french fries, applesauce or coleslaw, cookie and beverage. palacinkas, too!",,0,1,"March 3, 10, 17, 24, 31, April 7, 14",,,724-342-7391,,1,0,"804 Idaho St. , Sharon , PA 16146",Church,,St. Anthony (church hall),1,
53,56,,,0,1,,http://www.st-boniface.org/,,,,1,,"359 Main Street, Kersey, PA",Church,,St. Boniface,1,
54,57,"Dinners of Baked or Fried Icelandic Haddock Fish, Scalloped Potatoes, Green Beans,Coleslaw/Applesauce, bread and beverage. Prices remain the same as last year:  Adults:  $9; Children $4.50 Macaroni & Cheese or Grilled Cheese & $1.50 Ice Cream Bar (dish/ cone). ",,0,1,Lenten Fish Dinners will be held Fridays at St. Brigid social hall from 4:30-6:30 PM—now  thru April 7.,http://www.stbrigidchurch.org/,,,,,,"383 Arch Street, Meadville, PA",Church,,St. Brigid,1,
55,58,,,1,1,call to verify times and menu,http://www.parishesonline.com/find/st-joseph-church-15841,,814-787-4151,,,,"17735 Bennetts Valley Highway, Force, PA",Church,,St. Joseph,1,
56,59,,,,0,,,,,,,,"112 Rectory Ln, Lucinda, PA 16235",Church,,St. Joseph Lucinda,0,
57,60,Fish Dinner - 10. Captains Platter - 12 Shrimp Basket - 7,0,0,1,"Takeout available after 5pm. 50-50 and Gift Basket Raffle. Hosted by the Knights of Columbus, Msrg. Robert D Goodill Council 11229",http://www.slserie.org/,,814-825-7105 ,,1,0,421 East 38th Street. Erie PA,Church,St Luke Cafe,St. Luke,1,
58,61,,,,0,,,,,,,,"598 Ravine Street, Dravosburg, PA",,,Dravosburg Volunteer Fire Department #1,0,
59,62,,,1,1,,http://harrisgrill.com/,,,,1,1,"5747 Ellsworth, Pittsburgh, PA",Restaurant,,Harris Grill,1,
60,63,,,,0,,,,,,,,"123 Shiloh Street, Pittsburgh, PA",,,Shiloh Grill,0,
61,64,http://originaloysterhousepittsburgh.com/Menu,,1,1,,http://originaloysterhousepittsburgh.com/,,412-566-7925,,,1,"20 Market Square, Pittsburgh, PA 15222",Restaurant,,Original Oyster House,1,
62,65,"Hand-breaded Fish, Baked Fish, Shrimp, Kids Chicken, plus Sides. ",0,0,1,"Every fridays from March 3-April 7, 4:30-7pm. Takeout Orders: 412-276-9652. See website for complete menu.",http://www.rennerdalevfd.com,,412-276-9652,,1,0,"30 Suburban Ave., Rennerdale, PA 15106",Fire Department,,Rennerdale VFD,1,
63,66,,,0,1,Klub Karadjordje fish fry 4-7 every Friday during Lent.,http://www.stnicholasmonroeville.org/,stnicholasmonroeville@gmail.com,412-856-8166,,,0,"2110 Haymaker Road, Monroeville, PA",Church,,St. Nicholas Serbian Orthodox,1,
64,67,"Fresh breaded one pound fish sandwich. Pirogi. Choice of frozen cabbage pirogi and or frozen lekvar. Cooked potato cheese with butter and onions or can buy frozen. We will be featuring ethnic lenten dishes on these dates.. Soups.. Lima Bean , NE Clam chowder; Halushki, Potato Pancakes, Coleslaw Macaroni with green peppers in tomato sauce. ***There will be different soups and specials for each week*** Also we will be selling Paska Bread for Easter.. (Can call ahead for advance orders)Call by March 12th and pick up on April 7th. Call to order Paska 724-258-5720 or 724-777-2092",1,1,1,"Eat in or take out. ON THE DAY OF THE SALES, Please call the social hall for takeout orders at 724-489-0500",,,724-489-0500,,1,0,828 Meadow Ave. Charleroi PA 15022,Church,,Holy Ghost Byzantine Catholic Church,1,
65,68,,,1,1,,,,(724) 745-9955,,,,"510 Franklin Ave, Canonsburg, PA",Community Organization,Enter through back entrance through the bar. The upstairs social hall offers a non-smoking dining experience.,Polish National Union,1,
66,69,"Fish Sandwich and Fries  6, Shrimp and Fries  7, Baked Fish  5, Fried Fish  5, 1 Crab Cake  5, 4 Shrimp  6, Greek Salad  4, 3 Pierogi  3, Halushki  3, Macaroni and Cheese  3, Fries  1, Cole Slaw  1, Green Beans  1, Applesauce  1, Bun  1, Dozen Frozen Pierogi  8, Soft Drink or Bottled Water  1",1,1,1,FRIDAYS - March 3 through April 7 11am to 7pm,,,412-431-6428,,,0,"105 S. 19th St. Pittsburgh, PA 15203",Church,,St. Mary Orthodox Church,1,
67,70,,,,0,,,,,,,,"Bower Hill at McLaughlin Run, Bridgeville, PA",,,PJ's Deli,0,
68,71,https://www.facebook.com/RainbowVFC300/photos/pcb.1462361423805297/1462554953785944/?type=3&theater,,1,1,,https://www.facebook.com/RainbowVFC300/?hc_ref=SEARCH&fref=nf,,412-664-9523,,1,,"2916 Jacks Run Road, White Oak, PA",Fire Department,,Rainbow VFC,1,
69,72,,,,0,,,,,,,,"4358 Gibsonia Road, Gibsonia, PA",,,Sciullo's 910 Deli and Catering,0,
70,73,,,,0,,,,,,,,"401 East 8th Avenue, Tarentum, PA",,,Highland Hose Volunteer Fire Company,0,
71,74,"Menu items--all dinners include Fries and our special firehouse recipe Coleslaw--Fish Dinner, Chicken Dinner, Shrimp Dinner, Fish Sandwich",0,1,1,"The annual Moon Twp. VFC Lenten Fish Frys will be held on Fridays during lent from March 3rd,2017 to April 14th,2017 at the Public Safety Building. Fish Fry Hours are 11:00 AM-8:00PM. All food on menu can be for take out service or sit down meals",http://moontwpfire.com,,412-262-5006,,1,0,"1000 Beaver Grade Road, Moon Township, PA 15108",Fire Department,,Moon Township VFC,1,
72,75,,,0,1,"Fridays during Lent, 5-7pm. Call for menu.",,,412-828-1668,,1,,"106 Washington Ave., Oakmont, PA",Community Organization,,Oakmont Elks,1,
73,76,,,,0,,,,,,,,"407 Darlington Rd, Beaver Falls, PA 15010",,,Patterson Township Vol. Fire Co.,0,
74,77,"Seafood Platter $9.50, Shrimp Platter $6.50, Fish Sandwich $8, Haluski $3, Chicken Nuggets (5) $1.25, Crab Cake (1) $1.50, plus fries, coleslaw, mac, beverages, and extras.",0,1,1,Ash Wednesday + Every Friday during Lent 10am to 6pm,http://station207.com/,,412-824-7791 Pickup or Delivery,,1,0,"1318 Wolfe, North Braddock, PA",Fire Department,,North Braddock VFD,1,
75,78,"Dinners include entree, coleslaw or applesauce, french fries or browned whole potatoes, pie or cake, and a beverage.  In addition to fried pollock, the church offers baked cod, shrimp, crab cakes, or a sampler platter, and chicken planks also are available.",,,1,,https://ststephensmckeesport.com/fish-fry/ ,,412-664-9379,,,,"220 8th St., Mckeesport, PA",Church,,St. Stephen's McKeesport -GOOD FRIDAY ONLY-,1,
76,79,,,1,1,,http://pizzaritapgh.com/,,,,1,,"580 Burchfield Rd., Allison Park, PA",Restaurant,,Pizzarita,1,
77,80,1/2 pound Haddock sandwich and platter with fryz and slaw.,,1,1,Starts March 1st as part of the regular menu,http://www.spitfirez.com/,,412-824-3922,,,0,"316 Airbrake Avenue, Wilmerding, PA",Restaurant,,Spitfirez,1,
78,81,,,,0,,,,,,,,"102 Silver Slipper Rd Hookstown, Pennsylvania",,,Hookstown Volunteer Fire Department,0,
79,82,,,,0,,,,,,,,"163 Little Deer Creek Rd., Rural Ridge, PA",,,Elwood's Pub,0,
80,83,"all you can eat Lenten dinner $10 for adults, children 5-10 are $6, under 5 are free; Your choice of Fish (Fried or Baked) Chicken strips French Fries Rice Pilaf Mac and Cheese Cole Slaw Green Bean Casserole Haluski Fruit Cocktail Assortment of drinks (Coffee, Tea, Lemonade, Iced Tea, Fruit Punch)  On March 10, March 24, and April 7 we will also be serving Perogies as part of the main menu.  This year we will also be doing specials, however due to additional costs we will be adding an up charge of $2.00 to those people that want the special that evening.  The special menu is: March 3 - Crab Cakes March 17 - Jumbo Shrimp March 31 - White Pizza and Hush puppies  April 14 - Dessert Bar - No up charge  Benifits Markle VFD and Vandergrift #1 Fire-Rescue",,,1,,https://www.facebook.com/markle.vfd/,,,,,,"470 Joyce St., Apollo, PA",Fire Department,,Markle VFD,1,
81,84,,,,0,,,,,,,,"2339 East Carson Street, Pittsburgh, PA",,,Doublewide Grill (South Side),0,
82,85,,,,0,,,,,,,,"8695 U.S. Hwy 30, Irwin, PA",,,Doublewide Grill (North Huntingdon),0,
83,86,,,,0,,,,,,,,"100 Adams Shoppes, Cranberry, PA",,,Doublewide Grill (Mars/Cranberry),0,
